CustomerID,Gender,Tenure,MonthlyCharges,ContractType,PaymentMethod,Churn,customer_id
CUST-00001,Male,20,40.05,One year,Bank transfer,No,CUST_0001
CUST-00002,Male,36,110.41,Month-to-month,Credit card,Yes,CUST_0002
CUST-00003,Female,4,76.78,Month-to-month,Credit card,Yes,CUST_0003
CUST-00004,Male,44,119.02,Month-to-month,Credit card,No,CUST_0004
CUST-00005,Male,49,82.71,One year,Credit card,No,CUST_0005
CUST-00006,Male,69,26.86,Month-to-month,Credit card,No,CUST_0006
CUST-00007,Male,22,28.96,Month-to-month,Credit card,No,CUST_0007
CUST-00008,Male,50,22.94,Month-to-month,Electronic check,Yes,CUST_0008
CUST-00009,Female,24,110.44,Month-to-month,Credit card,Yes,CUST_0009
CUST-00010,Male,15,114.65,Two year,Mailed check,No,CUST_0010
CUST-00011,Male,40,91.53,Two year,Mailed check,No,CUST_0011
CUST-00012,Male,41,21.15,Month-to-month,Credit card,Yes,CUST_0012
CUST-00013,Male,5,93.54,Month-to-month,Mailed check,Yes,CUST_0013
CUST-00014,Male,35,63.52,Two year,Bank transfer,No,CUST_0014
CUST-00015,Male,53,52.51,One year,Bank transfer,No,CUST_0015
CUST-00016,Male,12,115.57,One year,Electronic check,No,CUST_0016
CUST-00017,Female,64,97.19,Two year,Electronic check,No,CUST_0017
CUST-00018,Male,31,93.05,Month-to-month,Electronic check,Yes,CUST_0018
CUST-00019,Female,48,117.36,Month-to-month,Bank transfer,Yes,CUST_0019
CUST-00020,Female,58,45.85,Two year,Bank transfer,No,CUST_0020
CUST-00021,Male,39,58.18,Month-to-month,Electronic check,Yes,CUST_0021
CUST-00022,Male,28,24.6,Month-to-month,Mailed check,Yes,CUST_0022
CUST-00023,Female,68,107.53,One year,Mailed check,No,CUST_0023
CUST-00024,Female,39,85.51,Month-to-month,Mailed check,No,CUST_0024
CUST-00025,Female,23,109.38,Month-to-month,Credit card,Yes,CUST_0025
CUST-00026,Male,15,117.85,Month-to-month,Credit card,Yes,CUST_0026
CUST-00027,Male,48,61.9,Month-to-month,Electronic check,No,CUST_0027
CUST-00028,Female,5,41.88,One year,Bank transfer,Yes,CUST_0028
CUST-00029,Male,26,83.4,Two year,Credit card,No,CUST_0029
CUST-00030,Male,12,58.28,One year,Electronic check,No,CUST_0030
CUST-00031,Female,57,116.64,Month-to-month,Bank transfer,Yes,CUST_0031
CUST-00032,Male,65,30.71,Month-to-month,Credit card,No,CUST_0032
CUST-00033,Female,4,28.81,Month-to-month,Electronic check,Yes,CUST_0033
CUST-00034,Female,62,43.66,Month-to-month,Mailed check,No,CUST_0034
CUST-00035,Female,65,56.6,Month-to-month,Credit card,No,CUST_0035
CUST-00036,Male,20,91.92,Month-to-month,Mailed check,No,CUST_0036
CUST-00037,Female,25,99.85,Month-to-month,Bank transfer,Yes,CUST_0037
CUST-00038,Male,44,118.3,Month-to-month,Electronic check,Yes,CUST_0038
CUST-00039,Female,62,116.4,Month-to-month,Mailed check,No,CUST_0039
CUST-00040,Male,68,50.91,Month-to-month,Mailed check,Yes,CUST_0040
CUST-00041,Female,40,104.53,Month-to-month,Electronic check,Yes,CUST_0041
CUST-00042,Female,42,45.95,One year,Electronic check,Yes,CUST_0042
CUST-00043,Male,19,54.97,Month-to-month,Credit card,No,CUST_0043
CUST-00044,Male,13,116.11,Month-to-month,Mailed check,Yes,CUST_0044
CUST-00045,Male,67,28.31,Month-to-month,Bank transfer,No,CUST_0045
CUST-00046,Male,17,119.92,Month-to-month,Credit card,Yes,CUST_0046
CUST-00047,Female,27,73.48,Month-to-month,Electronic check,Yes,CUST_0047
CUST-00048,Male,5,36.32,Month-to-month,Mailed check,Yes,CUST_0048
CUST-00049,Male,59,51.79,Month-to-month,Electronic check,No,CUST_0049
CUST-00050,Male,50,30.16,Month-to-month,Mailed check,No,CUST_0050
CUST-00051,Female,67,87.94,Month-to-month,Electronic check,Yes,CUST_0051
CUST-00052,Female,15,102.61,Two year,Electronic check,No,CUST_0052
CUST-00053,Female,1,86.82,Month-to-month,Electronic check,Yes,CUST_0053
CUST-00054,Female,40,38.33,Month-to-month,Electronic check,No,CUST_0054
CUST-00055,Male,6,65.31,Month-to-month,Mailed check,Yes,CUST_0055
CUST-00056,Female,12,20.38,Month-to-month,Credit card,No,CUST_0056
CUST-00057,Female,43,59.2,One year,Electronic check,No,CUST_0057
CUST-00058,Male,60,61.83,Month-to-month,Credit card,No,CUST_0058
CUST-00059,Female,6,100.92,Month-to-month,Electronic check,Yes,CUST_0059
CUST-00060,Male,14,113.49,Month-to-month,Bank transfer,No,CUST_0060
CUST-00061,Male,67,113.19,Month-to-month,Mailed check,No,CUST_0061
CUST-00062,Male,40,98.32,Month-to-month,Bank transfer,Yes,CUST_0062
CUST-00063,Male,3,115.27,Month-to-month,Electronic check,Yes,CUST_0063
CUST-00064,Female,40,105.59,Two year,Bank transfer,Yes,CUST_0064
CUST-00065,Female,27,47.61,One year,Mailed check,Yes,CUST_0065
CUST-00066,Female,42,27.66,Month-to-month,Bank transfer,Yes,CUST_0066
CUST-00067,Male,26,112.66,Month-to-month,Electronic check,Yes,CUST_0067
CUST-00068,Female,25,107.93,Month-to-month,Electronic check,Yes,CUST_0068
CUST-00069,Male,37,108.39,Two year,Electronic check,No,CUST_0069
CUST-00070,Male,36,60.88,One year,Credit card,Yes,CUST_0070
CUST-00071,Male,69,74.58,Month-to-month,Electronic check,Yes,CUST_0071
CUST-00072,Female,41,71.06,Month-to-month,Bank transfer,Yes,CUST_0072
CUST-00073,Female,57,104.43,Month-to-month,Bank transfer,Yes,CUST_0073
CUST-00074,Female,16,99.01,Two year,Bank transfer,No,CUST_0074
CUST-00075,Male,35,49.35,One year,Bank transfer,No,CUST_0075
CUST-00076,Male,20,66.71,Month-to-month,Credit card,Yes,CUST_0076
CUST-00077,Female,21,28.05,Month-to-month,Bank transfer,Yes,CUST_0077
CUST-00078,Male,36,35.96,Month-to-month,Electronic check,Yes,CUST_0078
CUST-00079,Female,15,26.01,One year,Electronic check,Yes,CUST_0079
CUST-00080,Female,2,40.77,One year,Bank transfer,Yes,CUST_0080
CUST-00081,Female,72,21.5,Month-to-month,Bank transfer,Yes,CUST_0081
CUST-00082,Male,66,61.28,Month-to-month,Electronic check,Yes,CUST_0082
CUST-00083,Female,14,113.26,Month-to-month,Bank transfer,Yes,CUST_0083
CUST-00084,Male,27,100.63,Two year,Mailed check,Yes,CUST_0084
CUST-00085,Male,70,50.33,One year,Credit card,No,CUST_0085
CUST-00086,Female,45,76.56,One year,Mailed check,No,CUST_0086
CUST-00087,Female,71,119.34,Two year,Credit card,No,CUST_0087
CUST-00088,Female,41,117.36,One year,Bank transfer,No,CUST_0088
CUST-00089,Female,35,32.56,Month-to-month,Electronic check,Yes,CUST_0089
CUST-00090,Male,19,51.32,One year,Bank transfer,No,CUST_0090
CUST-00091,Male,37,47.19,Month-to-month,Credit card,No,CUST_0091
CUST-00092,Female,32,40.95,Month-to-month,Electronic check,No,CUST_0092
CUST-00093,Male,22,25.36,Month-to-month,Electronic check,Yes,CUST_0093
CUST-00094,Male,10,92.61,Two year,Mailed check,Yes,CUST_0094
CUST-00095,Male,40,107.87,One year,Mailed check,No,CUST_0095
CUST-00096,Male,44,95.39,Month-to-month,Electronic check,Yes,CUST_0096
CUST-00097,Male,70,74.77,Month-to-month,Credit card,No,CUST_0097
CUST-00098,Female,57,114.75,Two year,Bank transfer,No,CUST_0098
CUST-00099,Male,7,35.08,Two year,Bank transfer,No,CUST_0099
CUST-00100,Female,17,53.63,Month-to-month,Electronic check,No,CUST_0100
CUST-00101,Female,4,83.72,Two year,Electronic check,Yes,CUST_0101
CUST-00102,Female,61,104.35,Month-to-month,Credit card,No,CUST_0102
CUST-00103,Female,7,80.46,Month-to-month,Bank transfer,Yes,CUST_0103
CUST-00104,Male,14,95.12,Month-to-month,Mailed check,Yes,CUST_0104
CUST-00105,Male,50,36.36,Month-to-month,Mailed check,Yes,CUST_0105
CUST-00106,Female,7,45.68,Two year,Mailed check,No,CUST_0106
CUST-00107,Female,12,98.57,Month-to-month,Credit card,Yes,CUST_0107
CUST-00108,Male,55,21.72,Month-to-month,Electronic check,No,CUST_0108
CUST-00109,Female,51,59.97,Month-to-month,Electronic check,Yes,CUST_0109
CUST-00110,Female,23,89.1,One year,Bank transfer,No,CUST_0110
CUST-00111,Male,58,100.1,Month-to-month,Mailed check,Yes,CUST_0111
CUST-00112,Female,46,84.28,Month-to-month,Bank transfer,Yes,CUST_0112
CUST-00113,Male,40,28.79,Month-to-month,Electronic check,No,CUST_0113
CUST-00114,Female,43,32.37,Two year,Mailed check,No,CUST_0114
CUST-00115,Male,26,87.06,Two year,Mailed check,No,CUST_0115
CUST-00116,Male,69,81.25,Month-to-month,Mailed check,No,CUST_0116
CUST-00117,Female,11,97.41,Two year,Electronic check,No,CUST_0117
CUST-00118,Male,60,74.67,Month-to-month,Electronic check,No,CUST_0118
CUST-00119,Male,17,28.03,Month-to-month,Bank transfer,No,CUST_0119
CUST-00120,Female,12,34.68,Month-to-month,Credit card,No,CUST_0120
CUST-00121,Male,60,44.91,Month-to-month,Mailed check,No,CUST_0121
CUST-00122,Male,13,105.72,One year,Bank transfer,Yes,CUST_0122
CUST-00123,Female,59,62.9,Month-to-month,Electronic check,Yes,CUST_0123
CUST-00124,Female,40,50.67,Month-to-month,Bank transfer,Yes,CUST_0124
CUST-00125,Male,60,53.74,Two year,Electronic check,No,CUST_0125
CUST-00126,Male,61,78.68,Month-to-month,Electronic check,No,CUST_0126
CUST-00127,Female,30,48.75,Month-to-month,Mailed check,Yes,CUST_0127
CUST-00128,Female,29,107.44,Month-to-month,Electronic check,Yes,CUST_0128
CUST-00129,Male,19,70.27,One year,Mailed check,No,CUST_0129
CUST-00130,Male,34,37.88,Two year,Bank transfer,No,CUST_0130
CUST-00131,Male,47,26.48,Two year,Mailed check,No,CUST_0131
CUST-00132,Male,51,71.68,Month-to-month,Credit card,No,CUST_0132
CUST-00133,Male,24,78.67,Month-to-month,Mailed check,Yes,CUST_0133
CUST-00134,Female,43,61.98,Month-to-month,Electronic check,No,CUST_0134
CUST-00135,Male,42,22.32,One year,Electronic check,No,CUST_0135
CUST-00136,Male,59,60.52,Month-to-month,Electronic check,No,CUST_0136
CUST-00137,Male,63,45.97,Month-to-month,Mailed check,No,CUST_0137
CUST-00138,Female,4,97.41,Month-to-month,Bank transfer,Yes,CUST_0138
CUST-00139,Male,9,54.73,Two year,Mailed check,No,CUST_0139
CUST-00140,Female,61,29.83,Month-to-month,Electronic check,Yes,CUST_0140
CUST-00141,Female,15,30.08,Month-to-month,Mailed check,Yes,CUST_0141
CUST-00142,Male,45,24.37,One year,Mailed check,No,CUST_0142
CUST-00143,Male,62,29.11,One year,Electronic check,No,CUST_0143
CUST-00144,Female,60,101.52,Month-to-month,Bank transfer,Yes,CUST_0144
CUST-00145,Female,22,57.11,Month-to-month,Bank transfer,Yes,CUST_0145
CUST-00146,Female,37,39.61,Month-to-month,Mailed check,Yes,CUST_0146
CUST-00147,Female,45,94.98,Two year,Mailed check,No,CUST_0147
CUST-00148,Female,17,28.23,Month-to-month,Credit card,Yes,CUST_0148
CUST-00149,Male,66,92.62,Month-to-month,Bank transfer,No,CUST_0149
CUST-00150,Male,14,44.71,Month-to-month,Bank transfer,Yes,CUST_0150
CUST-00151,Male,52,22.93,One year,Credit card,No,CUST_0151
CUST-00152,Male,14,90.82,Month-to-month,Credit card,Yes,CUST_0152
CUST-00153,Female,42,25.1,Two year,Mailed check,No,CUST_0153
CUST-00154,Male,72,81.13,Two year,Electronic check,No,CUST_0154
CUST-00155,Male,10,115.11,Two year,Electronic check,No,CUST_0155
CUST-00156,Male,39,62.39,Month-to-month,Credit card,No,CUST_0156
CUST-00157,Male,69,102.38,Two year,Credit card,No,CUST_0157
CUST-00158,Male,60,43.97,Month-to-month,Credit card,Yes,CUST_0158
CUST-00159,Male,52,34.23,Month-to-month,Electronic check,No,CUST_0159
CUST-00160,Male,53,91.35,One year,Mailed check,No,CUST_0160
CUST-00161,Male,31,84.19,Two year,Credit card,No,CUST_0161
CUST-00162,Male,32,70.52,Month-to-month,Credit card,No,CUST_0162
CUST-00163,Female,71,25.29,Month-to-month,Bank transfer,Yes,CUST_0163
CUST-00164,Male,21,25.85,One year,Electronic check,Yes,CUST_0164
CUST-00165,Male,62,36.32,One year,Bank transfer,No,CUST_0165
CUST-00166,Female,50,119.95,Two year,Credit card,No,CUST_0166
CUST-00167,Female,9,40.16,Month-to-month,Bank transfer,Yes,CUST_0167
CUST-00168,Male,44,79.47,Two year,Mailed check,No,CUST_0168
CUST-00169,Male,27,75.08,One year,Mailed check,No,CUST_0169
CUST-00170,Female,56,79.22,Two year,Credit card,No,CUST_0170
CUST-00171,Male,56,80.44,Month-to-month,Electronic check,Yes,CUST_0171
CUST-00172,Female,44,115.8,Month-to-month,Electronic check,Yes,CUST_0172
CUST-00173,Female,70,28.02,Month-to-month,Bank transfer,No,CUST_0173
CUST-00174,Male,31,100.76,Two year,Electronic check,No,CUST_0174
CUST-00175,Male,23,23.24,Month-to-month,Bank transfer,Yes,CUST_0175
CUST-00176,Male,10,21.32,One year,Mailed check,No,CUST_0176
CUST-00177,Female,63,49.78,Month-to-month,Electronic check,Yes,CUST_0177
CUST-00178,Female,15,113.68,Month-to-month,Bank transfer,Yes,CUST_0178
CUST-00179,Female,60,101.33,One year,Electronic check,No,CUST_0179
CUST-00180,Female,42,44.07,Month-to-month,Mailed check,Yes,CUST_0180
CUST-00181,Female,72,95.02,Month-to-month,Bank transfer,Yes,CUST_0181
CUST-00182,Male,13,69.64,Month-to-month,Bank transfer,No,CUST_0182
CUST-00183,Male,57,29.89,Month-to-month,Mailed check,Yes,CUST_0183
CUST-00184,Male,23,102.26,Month-to-month,Bank transfer,Yes,CUST_0184
CUST-00185,Female,40,96.19,Month-to-month,Bank transfer,Yes,CUST_0185
CUST-00186,Female,52,75.48,Two year,Electronic check,No,CUST_0186
CUST-00187,Male,9,24.56,Month-to-month,Electronic check,Yes,CUST_0187
CUST-00188,Male,14,94.92,Month-to-month,Electronic check,Yes,CUST_0188
CUST-00189,Male,49,108.46,Month-to-month,Credit card,Yes,CUST_0189
CUST-00190,Male,42,95.77,Month-to-month,Bank transfer,Yes,CUST_0190
CUST-00191,Female,64,108.41,Two year,Electronic check,No,CUST_0191
CUST-00192,Male,8,35.56,Month-to-month,Bank transfer,Yes,CUST_0192
