ticket_id,customer_id,issue_type,priority,resolution_time_hours,satisfaction_score
1001,CUST_0861,Service,High,52,3
1002,CUST_3773,Cancellation,Low,16,3
1003,CUST_3093,Billing,Low,69,5
1004,CUST_0467,Billing,Low,12,2
1005,CUST_4427,Cancellation,Medium,25,5
1006,CUST_3445,Cancellation,Medium,52,2
1007,CUST_3172,Service,High,53,3
1008,CUST_2920,Technical,High,23,3
1009,CUST_0131,Cancellation,High,16,5
1010,CUST_1686,Billing,Medium,57,5
1011,CUST_0770,Service,Medium,39,2
1012,CUST_2392,Cancellation,High,53,4
1013,CUST_2434,Billing,High,42,2
1014,CUST_1185,Billing,Medium,58,5
1015,CUST_4556,Technical,High,39,5
1016,CUST_3386,Service,Low,14,1
1017,CUST_4118,Service,Medium,5,5
1018,CUST_4844,Technical,High,35,1
1019,CUST_2905,Technical,Medium,18,4
1020,CUST_0475,Service,Low,9,2
1021,CUST_1083,Service,Medium,58,2
1022,CUST_2559,Cancellation,Medium,17,1
1023,CUST_2048,Cancellation,Medium,7,2
1024,CUST_2748,Technical,Medium,46,5
1025,CUST_0976,Cancellation,Low,13,3
1026,CUST_1807,Billing,Medium,40,1
1027,CUST_0190,Cancellation,Medium,42,2
1028,CUST_2735,Cancellation,High,9,1
1029,CUST_3006,Billing,Medium,50,1
1030,CUST_4659,Technical,High,27,3
1031,CUST_1900,Billing,Low,66,5
1032,CUST_1268,Cancellation,Low,5,1
1033,CUST_1529,Technical,Low,29,2
1034,CUST_3203,Cancellation,Low,37,4
1035,CUST_3557,Billing,High,38,1
1036,CUST_3891,Billing,Medium,8,1
1037,CUST_0647,Cancellation,Low,65,3
1038,CUST_2889,Service,Medium,17,5
1039,CUST_2436,Service,High,71,4
1040,CUST_0601,Billing,High,45,2
1041,CUST_2364,Billing,High,4,4
1042,CUST_2062,Service,Low,36,2
1043,CUST_0242,Service,Medium,70,5
1044,CUST_2042,Cancellation,Medium,31,2
1045,CUST_2825,Cancellation,Medium,19,3
1046,CUST_2613,Service,High,61,3
1047,CUST_1364,Cancellation,Low,54,3
1048,CUST_1479,Cancellation,High,39,3
1049,CUST_2557,Technical,High,19,4
1050,CUST_0776,Cancellation,Medium,39,5
1051,CUST_4015,Billing,High,67,2
1052,CUST_0035,Cancellation,Medium,45,2
1053,CUST_3153,Cancellation,Low,13,3
1054,CUST_1956,Service,Medium,58,3
1055,CUST_1586,Billing,Low,20,1
1056,CUST_3944,Cancellation,Medium,61,5
1057,CUST_3074,Cancellation,High,39,4
1058,CUST_1022,Technical,High,1,2
1059,CUST_3462,Cancellation,Low,3,1
1060,CUST_2614,Cancellation,Low,62,1
1061,CUST_3844,Technical,Low,63,2
1062,CUST_1501,Service,Medium,25,4
1063,CUST_4799,Cancellation,Medium,56,1
1064,CUST_0162,Technical,Low,33,1
1065,CUST_4298,Billing,High,38,5
1066,CUST_1982,Service,Medium,6,4
1067,CUST_0996,Billing,Medium,58,1
1068,CUST_4912,Billing,Medium,44,4
1069,CUST_3343,Technical,Low,45,2
1070,CUST_4552,Cancellation,Low,32,3
1071,CUST_3799,Technical,Low,45,1
1072,CUST_1276,Technical,Low,61,5
1073,CUST_1017,Technical,Low,47,2
1074,CUST_0338,Technical,High,21,4
1075,CUST_0879,Service,High,36,2
1076,CUST_1077,Cancellation,Low,19,1
1077,CUST_4888,Billing,Medium,20,4
1078,CUST_3994,Billing,Low,57,3
1079,CUST_4860,Cancellation,High,18,2
1080,CUST_0380,Billing,High,47,1
1081,CUST_0493,Cancellation,Medium,49,5
1082,CUST_2063,Billing,High,14,4
1083,CUST_3885,Technical,Low,15,2
1084,CUST_0065,Billing,Medium,31,2
1085,CUST_2569,Cancellation,Low,1,3
1086,CUST_2028,Cancellation,Low,54,3
1087,CUST_2696,Cancellation,Medium,3,5
1088,CUST_1496,Cancellation,Low,16,5
1089,CUST_0392,Cancellation,High,57,1
1090,CUST_4515,Service,Low,12,1
1091,CUST_4475,Service,Medium,16,5
1092,CUST_3562,Billing,Medium,24,5
1093,CUST_2279,Cancellation,Medium,28,4
1094,CUST_3100,Billing,Low,8,3
1095,CUST_0201,Cancellation,Medium,36,1
1096,CUST_4876,Cancellation,Medium,8,3
1097,CUST_3105,Service,Low,58,3
1098,CUST_4599,Service,High,60,5
1099,CUST_2455,Technical,Low,50,4
1100,CUST_3646,Service,Medium,28,2
1101,CUST_0805,Technical,Medium,41,4
1102,CUST_2732,Technical,Low,64,4
1103,CUST_2774,Technical,High,27,3
1104,CUST_1571,Technical,Medium,63,4
1105,CUST_2691,Technical,Medium,17,1
1106,CUST_3841,Billing,Medium,33,3
1107,CUST_1029,Service,Low,29,1
1108,CUST_0503,Technical,Medium,13,2
1109,CUST_4494,Cancellation,High,46,3
1110,CUST_0871,Service,Medium,35,2
1111,CUST_4489,Service,Medium,6,3
1112,CUST_0207,Technical,High,69,5
1113,CUST_1485,Billing,Medium,47,4
1114,CUST_0864,Technical,Low,25,5
1115,CUST_2791,Billing,Low,66,2
